review,label
'take week latest appt wife gets seen in quickly ongoing medical condition phone appointment take every week latest seen',0
'ok on surgery contacts no main problem getting appointment call routine ones rest day ok to surgery contact come review etc appointment not comes on invite also think 10 minutes long enough proper explanation with complex motor symptoms',1
'impossible emergency ring the reason despite supposedly new phone system installed virtually impossible problem get out phone fact ring ring three ages nobody answer answers person phone rang receptionists answer anyone really ill fear well chances getting their help apart going with person minimal problems wonder e mail stretched',1
'poor text sent econsult wrote explaining difficulty with swallowing received phone appointment 3 weeks time duly received call dr unaware econsult called almost without admonished phoning urgent appointment said econsult looked administration on known emergency office phoned on referred endoscopy by v day im camera job tomorrow',1
need taken seriously really disappointed initial reactions condition fight get heard taken seriously,1
rude gp system talk gp changed communication surgery new system encourages state think problem doctor calls rudely tells make statements suspected disease think systems communication approach really awful,0
excellent gp never struggled get appointment seen gp nearly 3 years always seems remember history reassuring never rushed made feel like wasting time shows genuine concern takes views consideration treating,2
website work tried register message fully booked today comes tried book routine appointment message tried contact surgery via message button received message meant online service seem work trying set parents online access surgery make easier book appointment please advise might achieve,0
day ok ill checkups got used calling day system works ok ill day need check want see gp difficult know weekend surgeries may use,2
unacceptable waiting times regular basis wait 40 45 min book appointment expectable queue 30min plus pick prescription,0
'facilities poor car store park toilets poor gradient road surface surface accessibility disabled parking vehicle slight tunnel slope makes impossible line wheelchair car park wheelchair van open road provides difficult push wheelchair slope entrance elderly patient toilets cramped',1
late going today getting appointments takes weeks wait 30 minutes day come communication surgery opens 8 10,2
clock needed waiting room problems picking medication pharmacy surgery appointment late afternoon pharmacy let take meds home said could give next morning due pick seemed little strict clock waiting room covid vaccination wait 15 mins sure go,2
never foot assessment never foot assessment seen nurse referral made type 2 diabetes years,2
'love surgery love surgery die easy getting no support doctors family members look power attorney doctor still silent insists that talking person unable even anymore though dementia gets confused makes pain eveything much worse while also means stay quiet need contact doctor just talk unless live',0
essentially good friendly staff essentially good practice little bit chaotic dispensary terms consistently getting prescriptions right end world main issue waiting times calls doctor access many cases,1
'after fair appointment time got more better treatment depends from gp',0
'bad staff coordination communication feel tests done now time would have better bloods test done week giving specimen bring back reception give results seem good communication gp rang results told gp would call back however not 5pm day still call back called initially told borderline later news told negative today came another blood test told gp needs see could run later today go home come back later sure realise feelings stressful makes prolongs worry',0
'difficult see gp busy main surgery room difficult get appointments see gp busy gp leaving reliant health locums good nurse seen patients excellent pharmacy staff unhelpful staff sort prescription holidays patient advised call 111 get money sorted it really changed recent years',1
'see see expected patient turned see one nurse came get through someone different like anxiety prefer know more seeing everything change',1
appointments easy get flexible appointments available easy enough get,2
really hard get help easy get appointment even telephone consultation disappointed waiting 9 hours call back,0
'use name online told you use date online system constantly putting through form getting message and saying appointments even to get booked get phone call want use system use still get me nowhere ridiculous',1
'blood tests surgery father kept sent blood tests warfarin clinic hospital surgery tests surgery elderly mobile patient getting a hospital visit logistically much difficult surgery involves hospital needing ambulance someone take hospital told surgery requests test must since by armed forces information father gets tests and surgery not much convenient',0
'staff polite friendly find people work practice friendly work best help however too often problems continuity of treatment plans social breakdown temporary communication staff said i endeavour resolve issues well speak sure help things get better and merger complete',0
'able see previous midwife or elsewhere in particularly satisfaction happy heard in local events midwifery experience team pleased able miss choice see midwife previous pregnancy or different surgery',0
seen quickly last week seen really quickly experienced sudden illness whilst shops able see shop going get ambulance would ended e waiting much longer see someone ended medication got surgery grateful got also local family able get easily quickly needed driving home afterwards,2
awful one ever ring gp unless actually need follow process suggested online fill forms like tell within 30 seconds sending form fully booked 8am fully booked heart condition suffer mental health unable get appointment let alone phone appointment anything,0
'service got worse hard get a appointment keep patient many years things got... worse much better stop take 2 3 weeks 2 routine appointment',0
1 2 week wait appointment got appointment today surprised time 1 2 week wait,2
great practice great practice look well would want move gp,2
doctors nurses great get see doctors nurses good availability appointments needs improved due condition getting another surgery difficult therefore appointments would better booking system quite difficult find given mixed information pharmacy one point told son eligible free prescriptions asked pay medication doctors really great asthma nurse always really good even get appointment offered telephone appointment doctor says see think come would great email prescription service repeats,1
'cannot hear beep sign say you called gp calls beep hearing loss staring banner whole time can hear beep calling gp nobody came get home said called reception board working shows gp aware person hearing speech loss made someone feel bad said surgery needs aware people hearing loss',0
fault surgery really fault surgery staff cared family whenever called advice appointment always called back quickly seen nurse gp long short term issues dealt quickly issue appointment prescribed medication communication dispensary always great one occasion waited hour toddler find told medication stock thought telling would fine understandable wait long told great could run bit better chase medication times,2
'the misinformation is best ingenuous friend told doctor testing blood for sugars causes nervous anxiety personally find a motivating lowered of hba1c non diabetic levels despite pregnancy poor advise response poor advise care given surgery feels like sausage bread factory sick',1
bit information newly diabetic bloods every couple months medication hope reverse life changes last test said text action wonder meant continue longer need take medication new bit information would good know sure right thing language way putting something used,2
'trying with get appointment app 4 wks started poor later still improved worst son 2 trying on get appointment contact 4 some weeks pre existing injury every time two phones need told ring tomorrow sometime and ring next week appalling',1
'in high st surgery doctors need excellent machines waiting times abominable they cannot get over 3pm telephone so many people mind seeing the nurse need gps',1
'delay diagnosis believe some delay seeing gp constantly seeing staff nurse delayed diagnosis caused one extra infection issues see gp much anymore wanted see gp 3 months more seeing nurse nurse practitioner without still doing ill get see one got another inspection miss leg related took swabs try give correct anti biotics teacher would preferred see in gp keep changing place feel right knowledge bit guessing game',0
'never had seem t bothered go into anything hurting that never gets him examined advice seems paracetamol iron binding tablets and caffine worst doctors ever wish could never move better bed doctors surgery',1
excellent care saw gp concerned stressed overworked amount work expected huge care given gp years absolutely excellent,2
dr spends minutes extra need would scored woodbridge road closed five stars four view doctors great attitude reception staff variable preferred doctor see possibly old fashioned doctor really listens knows often runs bit late mind wait finds extra minutes need locums also run late reason think new bigger surgery staff lost personal touch known feel like,2
emergency appointment son bitten dog called immediately know would see us said bring straight waited minutes realised time near needed pick children school 10 minute round trip spoke reception said would hold place queue got back school seen within 5 minutes excellent please access something locally rather try get hospital would less immediate logistically difficult drive,2
really struggle really struggle get appointments surgery long queues phone frustrating like asked reason appointment times reception staff bit curt unfriendly,0
difficult get see doctor difficult get appointments doctor good doctors beneficial consistency doctor see wonderful really cares seeing nurse prescriber need able prescribe wide range medication future use online email services needed waiting phone calls take long time order medication online someone phone even code word give allow,1
better got better lately previously struggled get appointments two appointments doctor recently feels easier access care need,2
'bit frustrating getting telephone appointment difficult while phone day consultation children feel addressed issues needed contact surgery personally and completely feel happy in phone appointment care self provided good get see someone children to feel be always appropriate',0
either queue every time call approx number 28 queue hold 40 mins hour however today trying get since 2 30pm 5 30pm time listen long pre recorded message told lines available 3 hours cannot see acceptable understand staff shortages something needs rectified never problem getting surgery merger,0
hard work cannot believe hard use wonderful new service put need advice asap take 48hrs reply terrible especially patient admitted hospital please go back old system could talk human much efficient,0
good indeed really fault surgery staff care provided always excellent always get appointment need one offered telephone face face appointments depending appropriate,2
kind helpful need use surgery often always found everyone top game kind helpful ask much really,2
'reception overly very helpful phone called appointments appointment time get good appointments available receptionist can tell try tomorrow offer real advice help her speak someone sooner',0
'fair fair nightmare getting appointment nightmare getting appointment ring 8 hours five minutes everything later is gone',0
'phones so busy getting by phones difficult they never seems get answered frustrating',0
'the gp wasted additional time appointment attending consultation of family member of doctor spent considerable large amount and time typing referral or letter to told and time patients waiting surely letter could typed secretary consultation',0
poor husband told someone would sent help depression seizure nearly 2 months explanation 3 chance recurrence never recurred death doctor spoke phone odd came back end hour doctor spent husband told husband lot problems would probably never drive week later report diagnosed epilepsy dementia probably alzheimers well depression dyslexia left note plus notes another problem discussion sure 50 years marriage would noticed dementia doctor used notes discuss either us changed info wrote report told one us precipitated 18 months distress get license back visits addenbrookes disprove diagnosis understand 1 hour interview could get diagnoses gp initially supportive changed said must misunderstood,0
'wrong hit miss service get times receptionists dismissive rude rung appointment get told immediately wont get one day like breakfast preparing argument ringing as appointment day booking one advance also people really used dismissive medication explicitly told puts high risk need least speak dr certain symptoms occur one receptionist challenged taking medication covid asked question thought needed speak someone incredibly rude dr rang back concerned enough want see despite covid receptionist attitude wrong understand must not get lot grief fact remains people speaking unwell possibly scared patients going row jolly mad smiley receptionists need automatically assume everyone going row also since taking medication hospital prescriptions wrong 7 months if still get blood reminders wrong missing 3 years',0
'with long hours get started phone service feel for unsupported medically doctors attending surgeries',1
'yes drs nurses generally is ok 20 minutes for late to far morning waited hour the struggle appointment with system took another four days no phoning hour get appointment drs nurses generally ok',0
fault good got double appointment morning rarely visit got appointment ok morning saw lovely doctor today pleased referred fault,2
access issues askmygp anyone concerned nearly every day past weeks askmygp appears open 8am sometimes later cardinal medical practice deliberately shutdown access sometimes early 10am words askmygp currently unavailable due unprecedented demand services appointment slots fully booked phone lines remain operational still dealing urgent requests whilst occasional high demand unreasonable demand cannot unprecedented every day weeks end sort service residents north west ipswich doubt gp practices stretched moment see gp practices across suffolk using technique action suffolk healthwatch taking cardinal medical practice sort contractual obligation snee icb provide access gp services including non urgent appointments 8 30 6 30 every working day non urgent appointment slots booked first couple hours every day mean cardinal medical practice simply employing enough clinical staff locums necessary deal patient demand seem remember dan poulter reported cardinal medical practice cqc back 9 2021 failure practice provide sufficient numbers care navigators answer telephone lines supposedly meetings local ccg according eadt assured situation improving new staff recruited new internet based solution accessing gp services deployed would solve problems although said significant proportion patients may struggle internet based access services online solution accessing clinical help rolled would appear cardinal medical practice deliberately making difficult public gain access gp services action gp partners cardinal remember already caught reported cqc currently marked requires improvement utterly shocking action bringing profession disrepute already shown yellow card cqc time red card come mp hindsight mp fobbed local ccg last time round,0
'enough doctors plenty enough doctors quality nurses ok you doctors',0
wait phone wait get phone biggest frustration,2
long delays conflicting info staff often long delays appointments staff give conflicting information speak different staff members everything practice seems slow,1
'then ring 8 4 00 get appointment from problematic nurses better doctors explaining different medication treatment but also ring 8 00 take his time get',0
3 star 3 star,1
enough doctor appointments find bit frustrating make doctor appointment able general working hours 8 5pm always nightmare get time work like surgery open longer hours provide flexibility people works,1
perfect appointments difficult get see doctor recently got appointment straight away everything perfect calling morning works well get quickly,2
prescriptions helpful staff especially repeat prescriptions,2
ok contact staff doctors experience good however find annoying phone system call main number get barage conversation regarding changes system go another list options get doctor offering sorts e consult etc want make appointment speak human eventually fairly lengthy wait unless queue 3 4 people front need hear doctor option service want pushed apon help need get appointment often available even online either list wait couple weeks,1
feeling privileged thank team stowhealth enough excellent efficiency caring nature every time need contact well done everyone,2
great service find getting appointment easy staff caring helpful many years consistently good family,2
always helpful excellent doctors nurses staff first class treatment,2
difficult contact surgery difficult contact surgery 40 minute waits phone call back gp face face appointment paramedic tried book appointment ahead time offered one 4 weeks time appointments outside normal surgery hours difficult get seem available day frustrating difficult work far away surgery getting back day appointments problem spoke reception difficulties basically told system place tried use econsult told contact surgery direct getting issue care,1
'is used able log will see test result... wanted able log see see results recent blood group tests work much easier compared previous system disappointing',0
appointments easy get need visit surgery much needed appointment recently problems easy get need talk gp first invite,2
'cause mis diagnosed inability get appointments quickly see their doctor as face for face mis diagnosis go be privately pay',1
easy practice refuse treatment finding rosedale surgery stand offish impersonal regarded number person need treatment correct medications trying ring 6 foot got,0
complicated letter explained major surgery ipswich hospital letter written hospital language understand technical terms could tell fully clear problems surgery gp met explained fact couple issues medication relating,1
'mixed feelings surgery clinic 2016 removed family member member patient name list withdrew without telling attend long due staff training see family member arrived couple hours later came back home surgery scene seen rushed hospital body deteriorated much later died seen earlier given options seeing someone affected early feel eyes surgery',1
referral phone call nurse practitioner wart asked could remove told done nuffield still know actually referred heard anything anyone,1
'see appointment system never major problem should actually not see gp hard get appointments work day job often detrimental health',0
'much reliance online technology records derby road number years surgery staff generally friendly needs decidated helping patients found especially since covid hit reliance use messages telephone users one occasion reached almost 5 minutes listening messages emergency surgery help getting options automated services simply poor unnecessary also everything seems directed toward online service taking away human side patient relationship to failing recognise older people going struggle service simply understand like computers difficult patient get appointment especially non urgent concerning health related matters phone day get appointment day past tried phone future appointment possible from father struggles surgery practice part practice group due issues lack face face customer service relies due issues still using modern technology online services often comments feels practise symptoms want see patients therefore slower getting seen',0
'for fair waiting day times vary poor waiting times changes vary waiting each hour a child seems worse east bergholt capel sometimes feel ever bit rushed doctors give eye contact tell look of computer',0
'really great lately just great experience lately',1
'unable book at appointment number 6 apparently fully is booked current date 7th 6 yet not taking bookings to july option by phone appointment a day saying urgent',1
generally full marks generally speaking give surgery full marks every area experience including waiting times occasion however gp running 35 minutes late room improvement otherwise cannot fault wonderful surgery,2
friendly staff friendly staff normally get appointment need one normally good children quite long delays surgery waiting appointment frustrating phone afternoon book appointment next day call back morning,2
ask gp really impressed within hours phone call one gp asked come see straight away kind knowledgeable efficient lady examined completed referral hospital,2
gp good gp good although get see often rang recently appointment called lunch speaking gp diagnosed phone arranged medication left delivery medication good helpful,1
professional kind doctors often difficult get phone request call appointment always seen spoken dr day needed also econsult online service non urgent problems request advice treatment referrals etc dr get back via email phone found useful always response within timeframe give drs nurses informative patient happy answer questions current covid setup collecting prescriptions surgery dispensary work well often left sitting waiting room idea turn go dispensary,2
'local services needed only dietitian need local appointments gp not know local consultation information forever changing due traffic shortages local consultation services not needed',0
upsetting approach step father usually stoic man chemo quite serious cancer emotional along appointments especially pandemic blood test day chemo informs chemo gp surgery overheard poor attitude care nav saying app somewhere else 4 days horrible listen keep saying make staff member respond coldly times rudeness unacceptable treating someone late 70s cas serious illness rigidity coldness going across town riverside upsetting aggressive body wrenching chemo need better deben ccgs pay take blood hospitals could much better coordinated approach maybe care navs need training treating people dignified kind personable way,0
1h 30m regular time get phone 1h 30m regular time get phone shut phone lines lunch workers opportunity ring surgery rude reception staff,0
'problems making appointments main problem making calls appointments made one good morning two weeks away not normally ring appointments back today please will ring you back tomorrow keeps happening husband ill get hold doctor appointment system needs looking at husband regular needs blood tests and surgery anyone 40 mile round trip around hospital expensive',0
medical terminology make difficult use medical terminology make explanations little unclear,2
need car parking spaces parking car difficult morning surgery lot garden back maybe cut back make spaces,1
mixed experiences ask eligible shingles jab used ask gp worked well simple use got quick reply better calling surgery seen excellent member staff vaccination really thorough mentioned issue checked well pleased find strange back system goes turned away last week went records could accessed,2
'a nightmare rang appointment period 3 within weeks painful hands several calls back advised that pharmacist gave you moisturiser some also said ring 111 calls 111 advised antihistamine symptoms call after gp weekend many calls changed antihistamine use something stronger keep using cream on different diagnosis calls arthritis dry skin neurological pain allergy and blood test',1
went review mediication wish thank alexandra road surgery wonderful care recieved today knew assessed paget fluid lungs causing difficulty breathing aria related thank much care gave,2
3 star 3 star,1
'lovely visit rules need some revising husband recently had attended midwife day appointment fine normally sit together waiting room however seats together cannot leave two seats free of per every seat case anywhere else even hospitals sat down seat next husband note told last advised man silly rule expect children parents elderly caregivers sit down 3 seats apart baby please make option couples coming together relatives sit next well single seats ridiculous',1
disgustingly dismissive mother went pick prescription morning heart medication blood pressure tablets due glitch system blood presssure tablets correctly ordered despite ordered week ago today told go home come back 4pm today needed get signed external pharmacy lovely people throughout interaction due 4pm school pick hours daughter one return pick tablets find still putting blame external pharmacy lovely polite people could mother told chase inside doctors dispensary disgusted dismissive mistake woman audacity tell chasing important prescription ones tell us come back 4pm pick told call back like claimed must case told could take 72hrs never felt brushed aside someone meant help utterly disgusting someone like hired even bad day informed first people systems glitched excuse dismissive someone looking answers,0
still face face appointments still face face appointments never answer phone always 30th que covid used excuse disappointed,0
waited 4 weeks see specific doctor waited 4 weeks see specific doctor ended seeing anyway could seen quicker feel appointments easier access moment phones busy first thing morning staff pleasant get see speak phone,1
good service even place less settled never really issues happy treatment get bother see trust professional long know bit history explain every time happy see anyone far good run behind appointments would slight criticism,2
helpful reception access less good used find reception helpful good come local blood test need,2
emergency illnesss registered framfield house surgery sincee late 1970s care received always good december 2022 unwell two occasions second occasion seen face face emergency chest pain breathlessness check ecg thought might suffering heart attack despatched ipswich hospital spent 10 days cardiac ward fortunately suffer heart attack blood clots found lungs since discharge attended surgery average twice week either see doctor blood tests also telephone consultations care provided 2 doctors nursing staff exceptional receptionists always welcoming friendly fitted urgent blood tests sometimes short notice commend surgery staff caring professionalism,2
'fair work need practices of 3 weeks get one appointment',0
doctors running late staff best always seem busy always try fit doctors running late understand rush people reception staff listen well high standard,2
'her poor guy hard get appointments not getting appointment really difficult tend ta go surgery well get one easier',1
'day cannot travel pre book cannot pre book early appointments non stop urgent email consultations receptionist gives answer appointments today could phone back tomorrow 10 8 00',1
drs good getting appointment difficult currently phone may take look online booking usually late called 20 mins average according booking screen today next seen booked 10 45 11 00 appointment one come still waiting 11 05 said drs treatment good get see,1
'hate hated appointments system visit hate appointments system please seem get appointment anything',1
'poor prescription service put prescription to request surgery 12 10 16 inefficient say need 7 working days sign or repeat script opinion pathetic decision sorry asked said script got delivered some east bergholt chemist went collect script 21 10 2016 told yet showed system indeed sign script request surgery valid claim sent evidence prove happens time after day another patient exactly i experience yet another sad tale after failure grossly underperforming practice every level',1
nice come staff helpful nice come dramas might take 3 4 days get appointment urgent seen day liaison physio surgery good try arrange house visit told necessary offered chance talk gp even though unable get surgery unable move,2
'bit easier get appointments difficult get appointment past two week of wait moment slightly easier receptionist call helpful see doctor time cannot explain complicated situation second time visit even early appointments had run behind nearly and hour told number 1 2 hr long would wait confusing problems doctors explain things often say different things contradict',0
'nurses good normally did get appointments theres pretty doctor like of see rest good nurses bed good friendly approachable more less intimidating person phoned today given appointment number straight right away',0
awful woeful despicable absolutely appalled staff doctors surgery call repeatedly fault phone seem blame doctor conveniently cut phone number 7 queue patient since born never felt unhappy infuriated service changing doctors surgery registering another surgery appreciate realise serious co vid outbreak patient waiting conditions dealt getting worse avoid,0
'staff attitude could work better but staff could less be patronising',0
great nusing staff wait seen polite staff clean waiting area review appointment booked hassle,2
'work appointments be difficult get work getting to appointment practically impossible get one office yesterday called morning got a one see nurse today like nurses doctors give good reason explanations get see',1
'no 2 weeks wait appointment wait 2 weeks appointment but would regularly expect wait 40 minutes not plus appointment on long wait 2 weeks appointment wanted the see specific individual doctor and female gp would often 4 2 weeks wait staff good medical non medical also worth not mentioning staff dispensary good seem need doctors',1
waiting triage call difficult phones busy took 1 2hr get appointment find waiting triage call difficult school run never sure call actual treatment care received good doctor seeing thorough nurses amazing,2
'seeing specific dr files difficult getting in appointment complex see doctor hard choice difficult treatment continuity care problems ringing day difficult coming surgery easier able data drive makes difficult accessing appointments either any surgery ok',1
give time wonderful polite accommodating give time refer pleased surgery much appreciated,2
'fair up hard get appointments get phone about get new appointments free drive therefore is offered appointments by surgery sites suitable means wait long time please see doctor',0
details needed details appointments regarding pregnancy care needed,1
problems annual review done today great support nurse diabetes staff helpful friendly easy talk think faults surgery,2
'tom tried many times send line econsult that weekend would report like results lung function results test chest temperature x and ray phone system all poor',1
'absolutly a disgusting surgery not never known surgery broken like recently put away repeat prescription son me half stuff missed go onto stop repeat prescription with website states put prescription good first time get everything not required infant son wait till surgery pull finger get sorted',1
efficient using footfall line system used footfall morning rang within hour see really easy use efficient seeing gp today,2
'traditional fair season appointments feel rushed 10 minute hours appointments often overrun leaving next day appointment shortened time feels rushed by little caring',0
wrong items given gp nurse care good needs improvement prescribing medication personally experienced wrong items given better system repeat prescriptions needed avoid wastage,2
cannot fault cannot fault saw fall blood pressure done concerning got home called back see health care professional sure actually means asked come saw everything explained could done telephone ordered blood test back today 3 appointments short time cannot fault thorough felt could assessed first appointment seen right person,2
happy see staff fine get appointments tend call surgery arrange happy see staff find whole system works well,2
'conflicting views gp and seem of conflicting views certain medications waiting in time before get patients appointment 2 3 weeks otherwise come sitting sit wait of urgent case waiting hour 50 mins far off today',0
'need lectures helped called docs get appointment little boy constantly getting bronch gets injured whenever gets cold needed advice best handle happens telephone for appointment rescheduled three times docs call 45 2 mins just later expected time doc went everything birth history ashthma etc end basically said nothing ok little ones records still suffers first bout bronch ended hospital 8 weeks old docs day proceeded give lecture breastfed and child could given best start antibodies helped build immune system breast best firstly mother choice may reasons be breastfeed up secondly motherhood judgmental role also given need docs thirdly conversation 3 weeks ago what god knows would reacted coming antidepressants postnatal depression considerate person speaking change need lecture make feel like blame little ones getting poorly overall found experience upsetting left conversation feeling guilty frustrated',1
'mother cannot get someone phone rings rings get nobody needed see someone two weeks hence got told call of day phone like system never get to see person',0
'some difficulties hearing understanding that staff wear hearing aids find it difficult understand staff struggle understand waiting times 10 30 minutes bad like for fact some put name in board patients help sometimes fully understand explanations given details depending upon doctor give written to notes nurse take home',0
'access appointments poor calling surgery procedure 2 days trot daughter told appointments available called 111 go james paget gave daughter prescription number 3rd day still issues surgery appointment is went first two occasions suggestion to going pharmacy advice making weekend restaurant appointment you know more today thing too ask one find one situation stop surgery much convenient james paget',0
quick diagnosis visited gp noticed cause concern arm referred west suffolk hospital dermatology plastic surgery removed area biopsy showed stage 1 melanoma hospital impressed gp,2
diagnostics 2 years starting diagnostic tests first lockdown started treatment cancelled practice simply put one side follow last two years diagnostics never completed never able get past phone consult despite would consider significant meds prescribed phone post starting take drugs follow feel cared practice,0
surgery good surgery good care provided great staff helpful,2
'scoring 3 a second encounter advised nurse practitioner needed be complete urine sample monday morning arrived 8am came reception nobody desk waited time rang doorbell next reception could see hear lots staff room behind reception nobody came waited longer pressed wait woman brown hair came storming reception said hello urine sample sample opened glass divider said sorry moody tone repeated grabbed sample pot bag handed saying done put type collection point door walk away she asked sorry toilets double doors said walked towards the double doors could see suggested private access way wanted ask came unlit hallway turn phone torch find toilet right returned from reception looked specimen collection point door see anywhere also realised information sample pot say mine pressed doorbell time lovely young third lady came reception asked add details pot put helpfully passed sticker pen explained information needed add also handed basket behind reception put sample things needed happen order sample actually get somewhere done first lady said would ended putting unlabelled specimen possibly discarded newspaper rack door nurse know standards meeting nhs will come close meeting elderly disabled may accident dark hallway understand early first thing turn lights start shift',0
friendly staff helpful recently returned pinewood surgery moving area staff helpful far provided excellent service regarding vaccinations setting patient online accounts,2
fair feel times nurses listen concerns feel condition changed listened number occasions correct number medication repeat prescription raised years fully addressed,1
