Service,Title,Date,Score,Body
Alexandra,Call in a week!,8/24/2021,2,"After calling 111 from having a few days (more than 5) of diarrhea, I was told that as my surgery is open I needed to access them first and call them to try see someone. They then told me to go to the pharmacist if I can and they will give me a call back in a week! I went to the pharmacist who gave me electrolytes.  I was advised to go back to the surgery as things had gone on so long they should be taking a sample from me, however this was not the case, and they should be as I am aware that this should be reported when someone has this for this length of time. But they did not."
Alexandra,Came here from Crestview,7/3/2019,2,"Came over to Alexandra road from Crestview, this has happened 3 times this year and I'll be seeing a nurse practitioner which I'm fine with. 
I hadn't previously known about extended hours, but now I do."
Alexandra,Can usually see a GP/Nurse in two days,4/30/2015,5,Friendly and helpful Receptionists.
Alexandra,Can’t even get them to answer the phone,5/29/2019,1,Phones never get answered been waiting months still nothing absolute joke
Alexandra,Communication with new GP wasn't there,6/5/2018,3,"Have been at this surgery for years and saw the same GP, who was excellent. One day he just left and the next GP I saw knew nothing about my condition. I moved surgeries as a result of this poor communication."
Alexandra,Compassionate,8/13/2021,5,"All staff are kind, caring and compassionate. They do, and give of their best to ensure positive outcomes for the patients in their care ."
Alexandra,Costs too much to call,9/23/2022,3,It costs me too much to ring now. £5 each time as on 'pay as you go' so I have to walk-in which they get funny about. I have no wi-fi to go online and cannot afford 'data.' Other services I call have a 'fixed charge'. For example when I ring to get my oxygen its 30p for each call. They need to think of those on lower income.
Alexandra,Diabolical,6/30/2021,1,"Both me and my husband tried to contact the surgery, 45 minutes till someone answered the phone. And still not helpful. My husband does not use computers so depends on me and I work full time. They say medication can be prescribed once they speak to you on the phone and yet we are still waiting for this phone call!!!  3 days later How long can they keep blaming this on the Covid?"
Alexandra,Difficult to call at 8am,7/3/2019,3,As a mother of 4 I find it difficult to phone the surgery in the mornings when needed due to doing the school run.  Often when I have 'phoned back they have no appointments left.  This is frustrating as it puts off being able to see the nurse/Doctor even more.  It's a shame the option to book appointments in advance is no longer available.
Alexandra,Disgraceful,10/1/2019,1,I waited an hour for my appointment to see the doctor and got seen by a nurse. Booked an appointment the next day for another doctor not of the practice contracts and was not even seen at all.
Alexandra,Disgraceful service,2/15/2019,1,"All I wanted was advice and help. But apparently the receptionists are now medically qualified to tell you what treatment you can or more to the point cannot have. I pay my taxes, national insurance etc. and I expect a better service than that."
Alexandra,Don’t feel they are any good,4/3/2020,3,"Based I’m my experience which is difficult to share in public area, I find GP’s and Nurse Practitioner I have seen not good at all.
Not getting any answers to my needs."
Alexandra,dreadful extremely bad service,2/17/2021,1,"My partner has damaged his shoulder,and after a telephone appointment a face to face appointment was booked then cancelled by the practice to be made the following week,when my partner called to confirm he was then told it would be another telephone appointment.meanwhile he has been left in extreme pain.due to this incompetency i am going to have to go against the practice advice ant take him to A&E.i undrestand covid is putting a strain on the nhs but as a frontline worker myself i am disgusted that he is allowed to go on in such pain.westoft"
Alexandra,Emergency appointments are available,7/3/2019,4,"If I need an 'emergency' appointment, in my experience the system here has worked well. If I need something 'routine' that can mean a long wait.
The staff are helpful and being asked extra questions when making an appointment makes sense.
I have now learned about extended hours."
Alexandra,Excellent discussion with (name removed),10/24/2022,5,"Met with relevant staff member (name removed) to make some negative observations, but came away with a better   understanding and appreciation."
Alexandra,Excellent. Communication very good.,7/8/2017,5,"Doctor attended to see service user, discussing what was best. Allowed her to have input, also care staff.  Friendly, professional and courteous."
Alexandra,Fair but long wait for appointment.,8/14/2017,3,The only problem was had to wait 5 weeks for an appointment
Alexandra,Fantastic care after bilateral knee operation,5/16/2022,5,The surgery have been brilliant with aftercare since I have had bilateral knee replacement surgery. They have made sure that they have responded quickly when I have sent a message asking for pain relief and seem genuinely interested in my progress. Thanks to all at Crestview Surgery.
Alexandra,found things good this time,8/25/2021,3,"The surgery is not really consistent. I have in the past had a lot of difficulty getting an appointment and these are for things that needed attention, and examination however last week I did get a ring back and have now got in to see someone today.  It is like you get 1 in 4 experiences that are ok, but the rest is not great at all."
Alexandra,Four week wait,6/10/2016,4,"I do not use the surgery that often. Last time I did need to get an appointment it took four weeks to get one, which I feel is unacceptable but also a clear sign of the change to the growth of the community without the needed infrastructure being thought of."
Alexandra,Friendly supportive help and advice,6/24/2020,5,"I attended for routine screening and saw a practice nurse . The nursing staff are outstanding and provide a professional approach . Although my appointment was late , the nurse was apologetic, and reassuring. She dealt with me very sensitively and was efficient and professional in very difficult circumstances ."
Alexandra,Getting appointment on the day is impossible,12/4/2018,4,"Booking appointment 'on the day' - you can forget that! I get 4 to 5 weeks delay for an appointment. Surgery runs 15 - 20 minutes late, which is ok, I guess?"
Alexandra,Given time by GP,8/25/2021,4,"When I have seen a GP they don't stick to the 10 minutes allocation, they have time for you and so I don't mind waiting in my appointment as I feel confident that they've been thorough and feel like they care. It is however, rare that you get to see a GP."
Alexandra,Good advice from receptionist,6/22/2017,5,Advice from receptionist re repeat scripts.  No problems - very helpful
Alexandra,GPs change,6/3/2016,3,"I hate the change of GPs every few months, they come but they don't stay!"
Alexandra,great nusing staff,1/15/2020,5,"no wait to be seen, polite staff, clean waiting area
Review appointment booked with no hassle."
Alexandra,I can’t even get an appointment,5/29/2019,1,"Iv been registered with this doctor for 30 years, only needing the service once or twice, now I need a doctor I can’t get to see one. The online help is a joke, I need to see a doctor but have to wait to register before I can even attempt to make an appointment. No wonder our hospitals are over worked, guess that where I’ll be heading tomorrow to take away services that needed elsewhere. Well done Crestview surgery 5 star mess up."
Alexandra,I’m based at Crestview,10/17/2019,3,"Today I was told by the lady on prescriptions that I couldn’t have my ADS and needed to make an appointment for a review.  I felt very panicked tbh as I had no tablets left, she asked me to go to the front desk.  I was very uncomfortable chest felt tight and the lovely lady on the front desk not only sorted out my prescription with the chemist but also informed me my review is not until January.  So basically the woman who was in prescriptions was totally wrong and caused me stress and anxiety for no reason."
Alexandra,Impossible to get appointments.,10/30/2020,1,"Even a 3 minute telephone appointment is apparently too much to ask nowadays.  I don't necessarily blame the staff, more the time wasters using up appointments for every little minor ailment,  so when people genuinely need help they can't get it."
Alexandra,impossible to get through on phone,8/15/2019,1,Terrible attitude from receptionist
Alexandra,Incorrect diagnosis twice,7/12/2018,5,"Back in July took my son to the surgery several times because my son was unwell with a cough. Was prescribed antibiotics for a throat infection he got progressively worse ended up being admitted to hospital after a trip to A&E with pneumonia. Now we have a similar situation. My son taking to surgery on Tuesday this week with severe cough. Told throat and chest fine, again another trip to A&E this morning to discover he actually has a chest infection!!"
Alexandra,Information could be improved...,8/16/2018,4,"I asked for an appointment in 6, when suffering from stress-related issues and was told that I could not see my doctor until the beginning of August. Few questions were asked when I phoned and I was concerned about this at the time. I would politely suggest that the staff taking appointments could be trained to demonstrate a better understanding of mental health needs.

After having my appointment, which involved having a blood test (which was carried out with a great degree of care), I was unsure about how I would be informed of the results. To be fair, I was informed by the nurse to ring the surgery if I hadn't heard by the Monday of the following week. However, I didn't do this and I have had no contact from anyone regarding the results. I tried to look up 'blood test results' in your Search facility on your website but it gave no information and I could find nothing about this topic anywhere obvious on your site. I shall phone to ask for my results now but I feel the information you provide could be better.

Finally, I feel that you should put some general information about mental health issues and how to refer mental health issues on your website. There's currently an empty web page under the hyperlinked topic on the site. Mental health services are an area of the NHS that is clearly under a lot of strain but some of the issues could be helped by the provision of better information and better handling of mental health concerns.

Thank you for all your help, as always."
Alexandra,I've been trying to call them for 2  hours,4/15/2019,2,Line is always busy. It's impossible to speak with someone
Alexandra,Joined practise end of 2018. ALL staff have b,3/17/2019,5,Compared to my last practise in GY I cannot fault the surgery. With complex medical history my husband and I feel reassured by prompt repeat scripts. Late appts. Same day appts. Understanding staff. Extras such as diabetic and cancer nurses. Pharmacist checks. Blood tests. Existing patients may take these for granted we certainly don't. We have also found receptionists to be empathetic and helpful. Glad we found you.
Alexandra,Just awful,4/3/2020,1,I get fed up of being palmed off. Sent from Crestview today and on restricted parking today. Appointment is 40 mins behind so I’m getting anxious about it now.
Alexandra,Lack of doctors,2/21/2022,1,Can never see a doctor and get fobbed off with phone calls from healthcare assistants which whilst pleasant enough freely admit they aren't the people I need to speak to.
Alexandra,Left crying being asked why exempt mask,9/17/2020,1,"Visited Alexandra Road surgery today as I had to pick a prescription up. Whilst there, I tried to make a face to face appointment with a doctor, rather than a phonecall as had already tried this but a nurse called me earlier today and reluctantly prescribed some meds hence what I was picking up.

The nurse was going to leave me the whole weekend before a doctor calls me; which is what I needed in the first place! I am a young intelligent female who needs some support and I do not feel my well being needs are being met. 

I’m 1 month off 20 years worth antidepressants and need some relief for my anxiety such as lorazepam. The nurse reluctantly agreed only 7 days worth until doctor speaks to me. Again, something that could of been dealt with it the dr had called me as originally requested. 

Explained to the receptionist that I am exempt from wearing a mask, she continued to ask why why why when I was tearful as i was. 
Checked the GOV website, clearly states no one should continuously ask you why as an exempt person. I was rescinded to tears, even the chemist lady asked if I was okay, clearly wasn’t, and this wasn’t even dealing with my personal affairs and why I need an appointment! 
Left the practice feeling extremely upset. Called the other practice, explained what had happened and she was even worse! Told me they are not a government building, they have their own rules! 
Please for your own intelligence, check the latest guidance. The GOV blankets you guys, not the other way round. 


Corrected her and advised that the government overrule all business etc for those who require to wear a mask AND those who don’t. You can not refuse to see someone who are exempt not in black and white do we need a doctor to add it to our medical records.  

Unfortunately the government are the ones who make the rules which I respect you have to follow to your best practice, however you need to accommodate those who exempt too. If you do not have anything in place, are you putting us all the wayside??? The mental health will only get worse and with that treatment I’m worried what will happen to others well being!! 

Asked what is in place for those who are exempt and she could not answer the question, basically refusing to help someone who is struggling with their mental wellbeing, and clearly a situation that needs to be avoided on my next visit. 

Utterly speechless and disgraced."
Alexandra,Left waiting for over 35 minutes,3/29/2023,1,"I arrived at the surgery at 9:20 a.m. to keep a 9:30 appointment, there were no staff on reception, and a notice on the automatic booking in system just said ""Out of Order"". I took a seat and waited until past 10:05 a.m., I then queried with reception why I had not been seen, and was told I should have booked in with them, and that I had been registered as non attending. Surely, somebody with common sense, would have added an instruction to consult reception to the ""out of order"" notice."
Alexandra,Locum NP didn’t fill me with confidence,4/3/2020,2,"Told by hospital to get dressing done on a Friday, so called surgery on Wednesday to make an appointment, but was told to ring on the day I needed it. So called on the Friday only to be met with ‘you’ve left that a bit late haven’t you.’ They did get me in with a Locum nurse practitioner who told me she was not up to speed on doing dressings and she didn’t know where anything was in the cupboards! This was not what I needed to hear.
She actually ended up doing a great job of it, but felt it was rather bizarre situation."
Alexandra,Meds not aligned,9/23/2022,3,"It is annoying that my medications are not aligned so that I can pick everything up in one go. I did try the Proof of Delivery, but it took too long on the phone and I work full time, so cannot hang on the phone for this. I waited more than 20 minutes on my lunch break and did not get through, so it is difficult."
Alexandra,misinformation - at best ingenuous,3/17/2019,2,Told by doctor that testing blood sugars causes anxiety.  Personally I find it motivating and have lowered my HbA1c to non diabetic levels despite poor advise - Other poor advise / care given.  The surgery feels like a sausage factory for the sick.
Alexandra,Mixed experience,6/7/2018,3,I had to go to A&E today due to calling into surgery and being fobbed off. Receptionist was very rude. I like the online system for advanced appointments but on the day ones are very difficult to get. We are unable to get to Crestview due to transport issues.
Alexandra,Mixed experience with prescriptions,12/4/2018,4,"Prescriptions - some pick up here and find have to get other prescription from Crestview too. We pick up the medication in High Street pharmacy. We do not use the online system as so many times the medication can be the wrong type. With allergies to some, I need consistency in the tablets. If they change the make of the tablet, I often have a reaction."
Alexandra,More and more difficult to get in,5/3/2020,3,"This surgery seems to have gone from terrible to really terrible for being able to get in. I have had to go to Crestview before, which was ok, but reliant on family for a lift.
They are obviously short staffed otherwise why would it be so difficult to get an appointment with just anyone, not even a GP, it is difficult all round"
Alexandra,Next in line to answer phone for 11 mins!,6/11/2019,1,Not the first time I have tried to ring and waited ages for a reply when I am supposed to be next in line.
Alexandra,No answer,1/29/2019,1,"Rang 200 times in one phone and 93 on another to make my sick child an appointment and couldn't get through. This is disgusting, unprofessional, unacceptable and it makes me curious to why a doctors with so many patients has one line to call. Get more numbers and your practice might come out with better reviews!!!!"
Alexandra,No clarity on extended hours services,7/3/2019,4,"This is my day off so fortunately I was able to get in, but only because I queued up this morning. It would be good if I could see someone after work. 
I was then told about extended hours service, I'd never heard of this before, never been told either here or elsewhere.
Surely that would hep the surgery as I'd happily go to an appointment later in the evening or even at the weekend and then my daytime appointment would be available for someone who couldn't do that."
Alexandra,No communication never get appointments,6/17/2019,1,Not only did our appointment get cancelled no one bothered to contact us and ringing up every morning for an appointment is a ridiculous idea as been trying to get an appointment for weeks but every morning ufter 30min of waiting in a que when it get to me there's never an appointment
Alexandra,No consistent GP,7/10/2018,3,"With GP's leaving here recently, I have been moved about between  a couple since December. With my hearing being bad I find it difficult to hear a GP that usually doesn't see that I am wearing a hearing aid. They do not always speak clearly. Takes a month to get an appointment with the GP I am with and I got told I am now not seeing them as they have also left."
Alexandra,No face-to-face contact with GPs,11/15/2021,1,"My stepfather is unable to obtain an appointment to see his GP. A callback is not an appointment to see your GP, an offer to come in and see the nurse practitioner (after complaining to the receptionists about their blocking tactics) is not an appointment to see your GP.  My stepfather is in need of a face-to-face appointment. You cannot perform remote diagnostics via a telephone call."
Alexandra,"no help for techno phobs,autistic or dyslexic",1/9/2020,1,phoned to get help for my sons fit note as he is autistic and i get told do it on the website. I was talking to someone who could have helped and stopped all stress and worry.
Alexandra,No issues,7/10/2018,5,"Never had any problem getting an appointment.
I always have been able to get my blood test done in time."
Alexandra,No issues,7/10/2018,5,"I always get an appointment when I need one here.They are aware of my medical conditions, so perhaps that is why as I know it is an issue for others at the same surgery."
Alexandra,No offer of extended hours,7/3/2019,3,"Can never see the same person twice!
I called in the morning and was told to call again in the afternoon. Each time I was told no appointments were available. I said I'd go to A&E as I felt that bad, but was told to call again the next day!!
I then learned about 'extended hours' - why had the surgery not offered me this, or even mentioned it? I would happily go. Next time I will ask for this."
Alexandra,Normally go to Crestview,5/3/2020,3,"I parked and put one hour on my car.  It is now 40 mins past my appointment time and I am getting worried I will have to forfeit the appointment. I did come over from the Crestview surgery area as they had nothing there. It is easy there as it is on my doorstep.  This appointment was made 2 weeks ago and I HAVE to see someone, so it is stressing me that I may have to go just because they are not running even close to time."
Alexandra,Not confident I'd see a GP,9/23/2022,4,"I have no confidence that if I needed a GP that I would get to see one. The general feeling here is that they have little capacity for GP's and you see someone else. I have seen a Nurse for my stitches, which I know is right for that, but I do worry that things could be missed if I got very unwell and with my health conditions, that is likely in the near future."
Alexandra,Not great,8/24/2021,3,"This surgery has not been brilliant for access for quite a while and when the pandemic hit it just got harder to see someone who can help you face to face. I do not do online, so I have to wait for a few days to even get a call back by someone. No day given, no time given, you are at their mercy. You have your life to live each day and cannot be hanging about because you may get a call that day that if you miss won't happen again."
Alexandra,Not right person,9/23/2022,3,"I saw a Nurse who could not prescribe and no GP was available so had to re-book with GP. This has doubled the time, two trips for me and a wasted appointment with the Nurse. I did say when I called that I needed to see a GP due to the nature of what I knew would be required. They need to listen and take on board what a patient says as we do know more about ourselves than they do when they issue these appointments"
Alexandra,Not too bad,8/24/2021,4,"I do not have much of an issue as I do not use the service very much, so for me, it is not too bad. I use the online system as it is easy to use, rather than hanging on the telephone too long. What could be better is being given a slot to expect the ring back."
Alexandra,On going problem for the last 5 wks,12/16/2020,1,Had the wrong medication 3 times now. Sent online request for appt on Sunday and am still waiting to hear anything despite talking to 2 receptionists the past 2 days.
Alexandra,on site pharmacist great,8/25/2021,4,"Found a call with the on site pharmacist excellent, eve so much as I asked if I could speak with them again, but unfortunately was unavailable.  They just have more time for the less complex stuff."
Alexandra,On the day appointment is difficult,12/4/2018,4,"Surgery is really good. I've experienced trouble getting an appointment on the day for my child, which was frustrating."
Alexandra,Online booking,6/6/2016,4,"I have used the online booking system. Often there is one early appointment available, then none for 3 or 4 weeks.I presume the early appointment is a result of a cancellation.If an early appointment is not available and you book a later on you cannot look again to see if there has been a cancellation. The system is not set up to be patient friendly."
Alexandra,Online works well,8/25/2021,5,The online service works well for me and I gained an appointment within 4 days of initial submission. They emailed me and text me an I was even seen slightly early at my appointment. The person I saw sorted out the issue (not a GP).
Alexandra,Phone call: rude on phone,10/10/2018,1,"Cancelled an appointment for my wife and the receptionist was very rude on the phone stating that someone else could of had the appointment, when doctors say to call up to cancel to save their time! Not happy, thinking about leaving the practice,"
Alexandra,Please give more info on staff skills,7/3/2019,3,"I cannot remember the last time I saw a GP. I'm waiting to see the nurse practitioner. When I found out what the skill set of the nurse practitioner was I was very surprised, why doesn't the surgery share this to help patients understand?"
Alexandra,Please make extended hours available,7/3/2019,4,"If I go to the GPs with my child, who has complex health issues, we get an appointment with a GP. However, if it's for me then it's less easy to get any kind of appointment.
Then I learned of extended hours and was surprised that I hadn't been offered this option. I don't mind seeing any GP at a different venue if necessary but this has never been offered."
Alexandra,Pleased with care; appointment is difficult,6/7/2018,4,"Booking an appointment 'on the day' - you can forget that! i get 4 to 5 weeks delay for an appointment. Surgery runs 15 - 20 mins late, which is ok, I guess."
Alexandra,Pleased with care; issues with medication,6/7/2018,4,"Prescriptions - some pick up here and find have to get other prescriptions from crestview too. We pick up the medication in High Street Pharmacy. We do not use the online system as so many times, the medication can be the wrong type. With allergies to some, I need consistency in the tablets. if they change the make of the tablet, I often have a reaction. We have sorted most of it out now, but it does still happen occasionally where some of the paper prescriptions are between the two surgeries. We go through it meticulously to ensure all is correct on the prescription and at the pharmacy before leaving with it so to ensure there is no wastage."
Alexandra,Poor,6/11/2020,1,"Difficult to speak to anyone, staff on the phone are very unhelpful, cannot get an appointment to see a doctor"
Alexandra,Poor,9/30/2019,1,If I could find out who you have to sleep with or bribe to get an appointment here it might help.  Any clues?
Alexandra,Poor,8/30/2018,1,Patients who like having a booked appointment do not wish to ring on the day unless it is an emergency
Alexandra,Prescription management isn't good,7/3/2019,3,"My medication wasn't signed for in time for a painkiller I have to get a repeat for on a weekly basis to be issues. Boots pharmacy usually deal with this, but recently I went to pick up my medication and it hadn't been signed yet, so I had a gap in my medication."
Alexandra,"Receptionists unhelpful, unfriendly,abrupt",5/15/2019,1,Pharmacist failed to arrange important medication leaving me without medication for a number of days.
Alexandra,Refusal of face to face gp,5/19/2021,1,Refusal of face to face go appointment despite being very ill with lung condition so need to be seen. Told had to wait a week and only given a phone call appointment.
Alexandra,Refusal to see me with my premature baby,4/3/2020,3,I was told to go to a pharmacy when I was worried about my baby who was premature. I did manage in the end to see the health visitor who was surprised by the refusal as she said it was appropriate to have asked to see the GP.
Alexandra,Rude & on the day appointments are difficult,12/4/2018,3,Had to go to A&E today due to calling into surgery and being fobbed off. Receptionist was very rude. I use the online system for advanced appointments but on-the-day ones are very difficult to get. We are unable to get to Crestview due to transport issues.
Alexandra,Rude receptionist is not acceptable,4/3/2020,3,"There is one receptionist Who is continually so rude in how she speaks to you on the telephone or if you walk in. 
You get offered an appointment in 2 weeks which when you are ill that day is no good to anyone. Getting told ‘that’s the way it is’ is just not acceptable."
Alexandra,Rude receptionist no call back,12/8/2019,1,Rude receptionists would not give me their name so I could complain about telephone manner. Not the first time I've experienced this. Asked for an advice call at 8am still waiting at 1830. Call up to ask when I will be rung and rude receptionist says probably tomorrow. I said I don't think that's acceptable as I need to be spoken to today by a doctor. Hence why I called and requested a call back for that day. No call back ever came.
Alexandra,Rude unprofessional receptionists,7/4/2022,2,"Recently in March 22  spent ten minutes waiting for the phone to be answered only for the receptionist to say hello and then immediately put the phone down on me, called again and this time had to wait twenty minutes for phone to be answered - was ringing to cancel appointment as had covid - this is not the first time this has happened to me - absolutely shocking customer service!!!  Haven't managed to see Doctor for years.."
Alexandra,Rude with no bedside manner!,9/5/2019,1,"My mum visited the surgery today. She currently has a chest infection and is very breathless. She is a known COPD patient.
My sister made the appointment and was present with her throughout the visit. 
It started by the doctor calling my mums name from the surgery door. The doctor was not visible at any stage so thankfully my sister heard her name. Is this appropriate? 
Once the doctor sat down, they did not move from their chair, or introduce themself, and had limited conversation.
The doctor did not explain or even announce the assessment that they were about to carry out.
The doctor just placed their stethoscope in their ears and my mum had to stand up and move towards them so they could listen to her chest. At no stage did the doctor move off their chair. This also happened when they took my mum's temperature. 
Surely the doctor should be off their chair and approach my mum when taking observations. This caused more distress to my mum which did not help with her breathlessness.
My sister had to ask the outcome of the assessment.
My sister was happy with the outcome however had to ask. We both feel the appropriate medications was prescribed.
Once my sister and mum left the room they both commented how unfriendly the doctor was and felt they did not want to be there.
I'm a trained nurse myself and this practise is unacceptable.
I would like a call from your Practise Manager/Doctor as soon as possible.
I will take this further if not dealt with immediately."
Alexandra,Running late,7/10/2018,4,"Getting an appointment is a challenge on the day. When I checked in the system said the GP is running 3 minutes late, but it is now more than 10 minutes (Which turned into 20 minutes)"
Alexandra,"Running very late, as always",7/3/2019,4,"Running very late, as always.  Difficult to book appointment. Initially getting through then questioned then if lucky you see someone who is free."
Alexandra,Speaking to a care navigator,2/15/2019,1,"On two occasions I had to speak to the same care navigator and I found very unprofessional the way she dealt with my need.The first time I asked whether there is a routine prophylactic clinic to check blood pressure, cholesterol, screening for diabetes.The answer was “No we don’t do that, we have got registered 17000 people, how do you imagine us doing it? To start phoning everyone?”
I felt like I was inconvenience for this receptionist and she wanted to get rid of me as soon as possible. No listening to my concerns or referring me to an appropriate place.

Today I went to enquire about syringing ears and the same navigator said”We don’t do that here “and gave me a leaflet to read and interrupted me and started serving the gentleman behind me.I tried than to explain that I have already done this,but she wasn’t interested at all.I think she was didn’t consider our confidentiality.There was a lady leaving an urine sample,me and the gentleman behind me that she was trying to deal with at the sametime.This didn’t feel professional at all and I left again feeling unwelcomed and treated without respect."
Alexandra,Staff have horrible attitude,7/3/2019,1,Trying to get a appointment.  It takes days even after a '111' call.  Staff having a horrible attitude over the 'phone when trying to make a appointment.  Always runs late too.
Alexandra,Surgery is really good,6/7/2018,4,"Surgery is really good. I've experienced trouble getting an appointment on the day difficult for my child, which is frustrating."
Alexandra,System set up for those not at work,6/1/2019,3,"Trying to get an appointment when you work is very difficult.  Always having to call on the day (to help your appointment same day stats only) is next to impossible when you live in Lowestoft but work in Norwich.  Hitting redial when you are driving means that you can only do it when you are stuck in traffic.  This is not safe.    If I could make a planned appointment I could organise to work from home.  I understand that this may not look great on your stats, but rather that roll over to the CQC without stating why you are leaving a % of your appointments for planned appointments, you make life harder for those of us that work.  

I leave for work at 7.30 and I get home around 19.00.  I am a disabled worker and I have also had an illness recently.  

The healthcare I have received has been brilliant.  I don't even mind the ever changing Doctor.  My only issue is with the appointment system. 

A further suggestion would be to have an area to work.  When I get there, to find that the waiting time is 30 minutes, it would be good if I could get some work done, rather that it being dead time.  I have asked if I can go and come back again, but have been told no by the receptionist.  A few desks with wifi would be perfect.  thank you"
Alexandra,Telephone lines need to be better,11/19/2019,3,"Ringing up today was difficult. I rang 50 times on my mobile and finally got through. Our GP is excellent as we have children with medical conditions. Not seeing him today though unfortunately as he is only 3 days a week. He has great bedside manner and says hi if you see him elsewhere.
Another GP just isn’t the same, so that’s not so good.
Seeing Nurse practitioner today."
Alexandra,The staff are lovely,6/7/2018,4,"The staff are lovely and i liked having my regular doctor who retired. I then for last year saw one particular doctor who I got used to, but I have now 'been told' that I'm under another doctor now,who I haven't met yet. It would be nice to be introduced as I need the confidence in my GP."
Alexandra,The staff are lovely,12/4/2018,4,"The staff are lovely and I liked having my regular doctor who retired. I then for last year saw one particular doctor who I got used to, but I have now been told that I'm under another doctor now, who I haven't met yet. Would be nice to be introduced as I need the confidence in my GP."
Alexandra,The wait between is so long,7/10/2018,2,"From my annual check in April, I had a blood test and it took a month to then see the Nurse who then said I needed to see a GP and that also took a month. It is just a long wait between the starting point to the end point.
I have also noted that you do not seem to have a designated doctor any more which I would like."
Alexandra,They don't listen,7/3/2019,4,"Have experienced issues with the surgery after suffering a minor stroke. The hospital stated that I needed a referral but the GP just keeps issuing strong painkillers, which do not really work.
It's difficult when you don't see the same GP twice to keep explaining the situation."
Alexandra,Things are ok,5/3/2020,4,"I personally do not use the service very often, as I look after myself.  I just needed a check up so this was made a few weeks ago, and was not urgent.  So I am seeing a GP, but I know it is only because there is no urgency for it that it worked out alright for me."
Alexandra,Trying to get through is hard,11/19/2019,4,Once you are here it is good. Always have seen same midwife.
Alexandra,Two week wait for poorly son,7/2/2019,3,I booked an appointment a few days ago and there is a two week wait for an appointment. It is for my son who has been sick for a couple of weeks now.
Alexandra,Usually runs on time,7/3/2019,3,Difficult to access at Crestview so I come to Alexandra road. I don't mind as I drive and the surgery usually runs on time. I can barely get an appointment at Crestview.
Alexandra,Very Happy,2/2/2021,5,"Since coming to this surgery I have been well looked after, and dealt with kindness and compassion."
Alexandra,Very Proffessional,3/17/2016,4,"I have found the surgery to be very professional at all times. I do not have any issues currently, and have nothing but praise for them"
Alexandra,Waiting too long,6/10/2016,3,Each time I need to see a doctor (6 times between Jan & May) I have had to wait at least 50 minutes. I know there is a shortage of doctors but I have not seen the same one for more than 6 months
